,name,AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,Degree,Eccentricity
107,P25963,5.8682243,0.0,0.17040929999999999,1,15
108,P27824,5.8682243,0.0,0.17040929999999999,1,15
109,P31785,5.8682243,0.0,0.17040929999999999,1,15
110,P32519,5.8682243,0.0,0.17040929999999999,1,15
111,P42356,5.41028037,0.02992123,0.18483329999999998,3,15
112,P48200,5.8682243,0.0,0.17040929999999999,1,15
113,P49005,5.8682243,0.0,0.17040929999999999,1,15
114,P52630,5.8682243,0.0,0.17040929999999999,1,15
115,P55209,5.73364486,0.02512246,0.17440913,4,15
116,P63261,5.8682243,0.0,0.17040929999999999,1,15
117,P63313,5.8682243,0.0,0.17040929999999999,1,15
118,Q07075,5.8682243,0.0,0.17040929999999999,1,15
119,Q08117,5.86448598,0.00373482,0.17051793,2,15
120,Q13011,5.8682243,0.0,0.17040929999999999,1,15
121,Q13042,5.86635514,0.00186916,0.1704636,2,15
122,Q13503,5.8682243,0.0,0.17040929999999999,1,15
123,Q13576,5.8682243,0.0,0.17040929999999999,1,15
124,Q14692,5.78224299,0.00719902,0.17294327,2,15
125,Q15388,5.8682243,0.0,0.17040929999999999,1,15
126,Q15849,5.8682243,0.0,0.17040929999999999,1,15
127,Q2TAL8,5.8682243,0.0,0.17040929999999999,1,15
128,Q6XXX2,5.8682243,0.0,0.17040929999999999,1,15
129,Q7Z591,5.62336449,0.02253207,0.17782948,2,15
130,Q8NA92,5.8682243,0.0,0.17040929999999999,1,15
131,Q8NDC0,5.8682243,0.0,0.17040929999999999,1,15
132,Q8WVX3,5.8682243,0.0,0.17040929999999999,1,15
133,Q96LM7,5.70186916,0.00813469,0.17538109,2,15
134,Q96QZ7,5.8588785,0.00780371,0.17068113,2,15
135,Q99459,5.86261682,0.00559699,0.17057229,2,15
136,Q99814,5.8364486,0.01622303,0.17133707,3,15
137,Q9BQ65,5.8682243,0.0,0.17040929999999999,1,15
138,Q9HBG7,5.8682243,0.0,0.17040929999999999,1,15
139,Q9HBS4,5.8682243,0.0,0.17040929999999999,1,15
