,name,AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,Degree,Eccentricity
360,Q99598,5.60528674,0.0048313,0.17840301,6,11
361,Q81K28,1.0,0.0,1.0,1,1
362,Q15084,1.0,0.0,1.0,1,1
363,Q81K29,5.8655914000000005,0.00089606,0.17048579,2,10
364,P30273,6.86514337,0.0,0.14566338,1,11
365,Q81K32,1.25,0.83333333,0.8,3,2
366,P32456,2.0,0.0,0.5,1,3
367,Q3KNW1,1.5,0.5,0.66666667,2,2
368,Q92619,2.0,0.0,0.5,1,3
369,Q81K36,6.37096774,0.0,0.15696203,1,11
370,Q81K38,6.70878136,0.00015836,0.14905837,2,11
371,Q6EES4,6.15815412,0.00058827,0.16238632,2,11
372,Q81K42,6.19175627,0.0,0.16150507,1,11
373,P60842,5.1922043,0.00238637,0.19259643,4,10
374,Q81K50,5.08243728,0.01054165,0.19675599,12,9
375,O15085,5.66890681,0.000342,0.17640085,2,10
376,P08174,6.08198925,0.0,0.16441989,1,10
377,P17028,5.86962366,0.00036155,0.17036867,2,10
378,P23528,5.96191756,0.00054676,0.16773127,2,10
379,P27448,5.05241935,0.00573457,0.19792498,4,10
380,Q68DE3,6.08198925,0.0,0.16441989,1,10
381,Q6IPW8,6.08198925,0.0,0.16441989,1,10
382,Q6P179,6.08198925,0.0,0.16441989,1,10
383,Q8WUQ7,6.08198925,0.0,0.16441989,1,10
384,Q9HCM1,4.93055556,0.00863674,0.2028169,5,9
385,Q81K51,5.52419355,0.01064053,0.1810219,10,10
386,O75533,6.23969534,0.00287623,0.16026423,3,11
387,Q0PKG6,6.52374552,0.0,0.15328618,1,11
388,Q15942,5.97625448,0.00275729,0.16732889,3,11
389,Q5VY43,6.52374552,0.0,0.15328618,1,11
390,Q6NZ36,6.52374552,0.0,0.15328618,1,11
391,Q6ZSC8,6.52374552,0.0,0.15328618,1,11
392,Q99426,6.52374552,0.0,0.15328618,1,11
393,Q9HCA8,6.52374552,0.0,0.15328618,1,11
394,Q81K60,6.7078853,0.0,0.14907828,1,12
395,P33316,5.70833333,0.00535914,0.17518248,5,11
396,Q81K61,1.0,0.0,1.0,1,1
397,P26583,1.0,0.0,1.0,1,1
398,Q81K67,5.26971326,0.0,0.18976365,1,10
399,Q81K75,1.0,0.0,1.0,1,1
400,Q7Z6E9,1.0,0.0,1.0,1,1
401,Q81K82,5.30017921,0.0,0.18867287,1,10
402,Q81K83,6.72222222,0.0,0.14876033,1,11
403,Q81K85,5.74910394,0.01144131,0.17394015,9,11
404,P27986,6.746863799999999,0.00179131,0.14821701,2,12
405,P50213,6.74865591,0.0,0.14817765,1,12
406,P55083,6.74865591,0.0,0.14817765,1,12
407,Q9UHL4,6.71639785,0.00155004,0.14888933,2,12
408,Q9Y2F5,6.74865591,0.0,0.14817765,1,12
409,Q9Y679,6.74775986,0.00089606,0.14819733,2,12
410,Q81K86,4.92831541,0.0,0.20290909,1,10
411,Q81K94,1.0,0.0,1.0,1,1
412,Q6P2I0,1.0,0.0,1.0,1,1
413,Q81K96,5.34229391,0.00991826,0.18718551,12,10
414,H0Y4B0,5.84991039,0.00047964,0.17094279,2,11
415,O43464,4.87679211,0.00346527,0.20505282,3,10
416,P46939,5.56675627,0.00568116,0.17963783,7,10
417,Q15061,6.34184588,0.0,0.15768279999999998,1,11
418,Q8N5H5,6.34184588,0.0,0.15768279999999998,1,11
419,Q8TF32,6.34184588,0.0,0.15768279999999998,1,11
420,Q92804,6.3266129,0.00088834,0.15806246,2,11
421,Q96CN5,6.34184588,0.0,0.15768279999999998,1,11
422,Q96ND0,6.34184588,0.0,0.15768279999999998,1,11
423,Q9H1C8,6.34184588,0.0,0.15768279999999998,1,11
424,Q9UKJ0,6.34184588,0.0,0.15768279999999998,1,11
425,Q81K97,6.08064516,0.00194459,0.16445623,4,11
426,O60613,7.08019713,0.0,0.14123901,1,12
427,P20591,6.09094982,0.00064895,0.16417801,2,11
428,P41222,5.28449821,0.00221071,0.18923273,2,10
429,Q02790,7.08019713,0.0,0.14123901,1,12
430,Q81KA0,7.74731183,0.0,0.12907703,1,13
431,Q81KA5,5.48297491,0.00143276,0.18238274,4,10
432,Q92546,6.48252688,0.0,0.15426083,1,11
433,Q99460,5.09543011,0.00475062,0.19625429,3,10
434,Q9Y5X3,5.64560932,0.00031919999999999995,0.17712879999999998,2,11
435,Q81KB2,7.51792115,0.0,0.13301549,1,12
436,Q81KB5,5.1953404999999995,0.00230289,0.19248017,4,10
437,O43426,5.85976703,0.00069665,0.17065525,2,11
438,Q16534,4.63933692,0.01610687,0.21554804,10,10
439,Q75N03,6.19489247,0.0,0.1614233,1,11
440,Q8N283,4.74955197,0.00726266,0.21054617,6,10
441,Q81KB7,7.11469534,0.0,0.14055416,1,12
442,Q9H6S1,6.11514337,0.00089606,0.16352846,2,11
443,Q81KC6,4.92831541,0.0,0.20290909,1,10
444,Q81KD6,6.06451613,0.00141509,0.16489362,2,11
445,P01857,5.07930108,0.00768658,0.19687748,8,10
446,Q13158,7.00044803,0.00057007,0.142848,2,12
447,Q81KF7,5.792114700000001,0.0,0.17264851,1,11
448,Q81KF8,1.0,0.0,1.0,1,1
449,P31350,1.0,0.0,1.0,1,1
450,Q81KG0,6.16935484,0.0,0.1620915,1,11
451,Q13503,5.16980287,0.00978805,0.19343097,7,10
452,Q81KG1,6.53584229,0.00094478,0.15300247,3,12
453,O43432,5.94489247,0.00084592,0.16821162,2,11
454,Q15154,5.83109319,0.00099504,0.17149443,2,11
455,Q8TC12,7.53539427,0.0,0.13270706,1,13
456,Q81KI9,6.37365591,0.00358182,0.15689582,5,11
457,P25025,5.37768817,0.0053663,0.18595351,3,10
458,Q16555,7.37320789,0.0,0.13562618,1,12
459,Q8IUP8,7.37320789,0.0,0.13562618,1,12
460,Q8NC67,7.37320789,0.0,0.13562618,1,12
461,Q9UL54,7.37320789,0.0,0.13562618,1,12
462,Q81KJ6,6.91845878,0.0,0.14454086,1,11
463,Q81KK2,7.02867384,0.0,0.14227435,1,12
464,O95793,6.02912186,0.0013362,0.16586163,3,11
465,Q81KK6,5.64695341,0.00179171,0.17708664,3,10
466,O15067,6.64650538,0.0,0.15045501,1,11
467,Q9BTE1,6.64650538,0.0,0.15045501,1,11
468,Q81KK8,4.74462366,0.00995385,0.21076487,8,10
469,O60318,5.33019713,0.00047055,0.18761032,2,10
470,P29279,4.97087814,0.00293985,0.2011717,4,10
