protein_b	int_type
Q5NEU6	Q13438
Q5NG24	Q9NPE2
Q5NHP5	Q76FK4
Q5NGV7	P29474
Q5NHX0	Q6KC79
Q5NG92	P29474
Q5NGB2	P19838
Q5NIG1	P19838
Q5NH38	P19838
Q5NFP9	Q13952
Q5NI89	Q14494
Q5NEC0	P19838
Q5NF50	Q14494
Q5NH42	P19838
Q5NFG5	P19838
Q5NFA1	Q9HB63
Q5NF74	Q99519
Q5NGR8	Q96SB3
Q5NIP6	Q9NQX5
Q5NH18	P55209
Q5NE85	Q8IVI9
Q5NFY5	O95989
Q5NHS3	Q13438
Q5NG28	Q6UX06
Q5NH37	Q5VST9
Q5NET3	Q9UBD5
Q5NGV7	P35658
Q5NEP5	O00365
Q5NGV7	O94875
Q5NGF2	O00365
Q5NGE6	Q49A26
Q5NHP5	Q02297
Q5NHZ4	Q92823
Q5NGA0	Q96KG9
Q5NEW4	Q7Z494
Q5NH91	P06748
Q5NFK7	P06748
Q5NII2	P55209
Q5NEU6	P42356
Q5NIJ1	P42356
Q5NEC0	P42356
Q5NHL7	O43242
Q5NEM8	Q4VAK3
Q5NFP9	Q4VAK3
Q5NFT6	Q2NL98
Q5NGF1	Q5JRA6
Q5NH38	Q2M1Z3
Q5NGW2	A8K8P3
Q5NH45	Q15810
Q5NHN4	Q9NZ45
Q5NGW2	Q15989
Q5NHY6	Q9UHX1
Q5NI89	Q86UA1
Q5NI33	P17706
Q5NI33	Q05CW4
Q5NIA8	Q13308
Q5NFS5	Q9UL46
Q5NID9	O43242
Q5NF52	Q9UL46
Q5NGV7	O00186
Q5NH40	Q4VBZ9
Q5NES5	Q53GD2
Q5NGV3	Q12899
Q5NH38	Q6NVV7
Q5NIF4	P20036
Q5NFJ2	P62330
Q5NI74	Q8IYJ3
Q5NE94	Q64F87
Q5NFY4	Q8NI27
Q5NIQ1	Q12899
Q5NEH8	Q8IYJ3
Q5NEH8	Q53EM3
Q5NIF1	Q59FQ0
Q5NGM5	Q584P1
Q5NHD8	Q5HYD9
Q5NH45	O14595
Q5NI33	Q562E5
Q5NHI8	Q53GD2
Q5NID9	Q562E5
Q5NIP5	Q13200
Q5NGW8	P25788
Q5NF74	Q9NWS0
Q5NF74	P51665
Q5NIE3	Q8NEB5
Q5NF50	O15031
Q5NFK7	Q7Z3K3
Q5NFR9	Q7Z3K3
Q5NHQ9	Q9BX97
Q5NGF1	Q9BX97
Q5NES5	Q16512
Q5NEB5	O15162
Q5NHZ4	Q9NRZ7
Q5NFA1	O15162
Q5NGV3	P22061
Q5NFZ2	Q9BZ72
Q5NEM8	Q9H307
Q5NGF9	Q9ULM0
Q5NGZ2	Q14442
Q5NGU1	Q13492
Q5NFQ6	P36873
Q5NI85	Q7Z3K3
Q5NGW4	P07737
Q5NFK7	O60759
Q5NGM5	P79522
Q5NF37	Q6P2Q9
Q5NG24	Q9ULL5
Q5NGR3	P79522
Q5NI89	Q8TCU6
Q5NEC0	P07225
Q5NHL7	Q6P2Q9
Q5NID2	P35813
Q5NI66	O15355
Q5NF27	P30048
Q5NIG3	Q9UKN5
Q5NF74	Q8TCU6
Q5NF74	P23284
Q5NGQ8	P23284
Q5NGN2	P23284
Q5NFN4	Q9HB63
Q5NID1	O75376
Q5NE83	P05412
Q5NFR9	O43896
Q5NGF9	O60333
Q5NIF3	P01834
Q5NHY6	P01834
Q5NI74	P01834
Q5NGM6	P01834
Q5NF60	P01834
Q5NEJ4	P01834
Q5NGV7	P01834
Q5NEB5	P01834
Q5NEX4	P01834
Q5NGM6	O75071
Q5NES9	Q2KHM9
Q5NGF9	A2RU30
Q5NHN4	A7E2V4
Q5NF31	Q14154
Q5NFK7	Q93073
Q5NIG6	Q9P2E2
Q5NID2	Q12918
Q5NEV5	Q9Y2M5
Q5NID9	Q96RT1
Q5NEL1	Q86U70
Q5NGF9	P06239
Q5NFN4	P17931
Q5NHI8	Q9UIQ6
Q5NF75	P06239
Q5NF74	Q4G0J3
Q5NEG0	P06239
Q5NER5	Q4G0J3
Q5NFB1	P14618
Q5NHS4	P11279
Q5NGI2	Q15012
Q5NFP9	Q9NPI7
Q5NF74	O15230
Q5NF37	P14618
Q5NFN7	P12956
Q5NFN7	Q96PQ7
Q5NFP9	O76095
Q5NF27	Q9NQC1
Q5NF37	Q08380
Q5NHQ9	P05412
Q5NI89	Q8NI35
Q5NH71	P01857
Q5NEC0	P31785
Q5NID2	P01877
Q5NEC0	P25963
Q5NHX0	P01877
Q5NG93	P01877
Q5NH94	P01877
Q5NFV6	P60842
Q5NIA8	O60573
Q5NGN2	Q14240
Q5NGF6	P40305
Q5NHY6	O75874
Q5NIP6	Q9HBG6
Q5NG53	Q9BTL4
Q5NGZ7	P41091
Q5NET3	Q12891
Q5NEM9	O15131
Q5NEH1	Q14974
Q5NFP9	O15397
Q5NH47	P16144
Q5NET8	Q15053
Q5NHP0	Q96J02
Q5NGF1	Q14573
Q5NEB5	Q9NQC1
Q5NI93	Q969R8
Q5NIQ1	Q9NZM3
Q5NF37	P56199
Q5NEU6	P05107
Q5NEC0	P15260
Q5NFR6	P16144
Q5NIB3	Q15051
Q5NEC0	P48200
Q5NEC0	Q13576
Q5NFR9	Q96CN7
Q5NH91	P48551
Q5NFP9	P06213
Q5NGC7	P53671
Q5NEH1	Q9BT23
Q5NI89	Q9HCG8
Q5NI66	O94851
Q5NEB4	Q92614
Q5NEX3	P01871
Q5NFV6	P01871
Q5NEC0	P01871
Q5NFR9	P01871
Q5NGV3	P52701
Q5NGA0	Q04900
Q5NHS6	O75970
Q5NGW2	P15941
Q5NEG0	O75970
Q5NI93	P26038
Q5NID2	Q9Y605
Q5NH45	Q9Y605
Q5NES5	Q16539
Q5NGV7	Q96BY2
Q5NEL7	P40692
Q5NIN9	Q96BY2
Q5NHM9	P01871
Q5NGF1	P01871
Q5NHX5	P01871
Q5NFQ6	Q58F05
Q5NHH0	O60502
Q5NIC1	Q3BBV0
Q5NIP6	Q15080
Q5NF74	P19878
Q5NFB1	Q13765
Q5NIJ3	A2RRP1
Q5NH32	Q13765
Q5NID9	Q13459
Q5NH25	P01871
Q5NEW4	O14974
Q5NGX7	Q9NPC6
Q5NET8	Q86UW6
Q5NF74	O75592
Q5NGV7	P35579
Q5NEJ4	Q8N699
Q5NFC1	O94832
Q5NFQ6	Q96DM3
Q5NIF4	Q96DM3
Q5NEB6	Q08380
Q5NF40	Q96T58
Q5NIL8	O75444
Q5NII1	Q8WXG6
Q5NGZ2	Q9UNF1
Q5NHN7	Q02978
Q5NGR8	Q9H2W1
Q5NFZ8	Q9H2W1
Q5NGV7	Q92918
Q5NGF1	Q96CN5
Q5NI40	O75427
Q5NIA8	Q96CN5
Q5NEC0	Q9HBG7
Q5NGF6	P20700
Q5NGW8	O60711
Q5NFX8	P20700
Q5NER8	Q96CN5
Q5NF74	Q13136
Q5NEB4	Q9NUN5
Q5NGP5	O60664
Q5NHE7	Q96QZ7
Q5NEC0	Q96QZ7
Q5NHH0	Q12866
Q5NHR1	P31153
Q5NHR0	Q8IWA4
Q5NH68	P31153
Q5NII2	Q9H1A3
Q5NG24	O14770
Q5NHL4	Q12866
Q5NEC0	Q9NPJ6
Q5NEC0	Q13503
Q5NGV3	P27448
Q5NFJ2	Q9H204
Q5NF50	Q9NXL9
Q5NIL2	Q9ULK4
Q5NIJ3	O60318
Q5NHR0	Q9NR56
Q5NHK6	P27448
Q5NF74	P27816
Q8G8T7	P19838
Q8G8T7	Q9Y6C2
Q79RC1	Q9NZ32
Q79RC4	Q96GX9
Q4VP87	Q96GE9
Q8G8T7	P52566
Q8G8T7	Q9BV68
Q8G8T7	O60763
Q4VP87	P01877
Q8G8T7	P01877
Q4VP87	P13693
Q4VP87	P30480
Q79RC1	P31321
Q8G8T7	P62314
Q4VP87	Q8NHL6
Q8G8T7	P69905
Q79RC1	Q10587
Q4VP87	Q14590
Q8G8T7	Q7Z3K3
Q4VP87	Q86VB7
Q4VP87	Q86Y74
Q4VP87	Q8NHJ6
Q5NIF9	A0A1L1M261
Q5NEC0	A0A1L1M261
Q5NH91	A0A1L1M261
Q5NGC3	A0A1L1M261
Q8G8T7	D1MGQ2
