protein_b	int_type
Q5NEC0	Q9HBS4
Q5NGV7	Q9UBK5
Q5NI79	Q9H355
Q5NFJ2	Q5JXC2
Q5NGM6	Q9H6A9
Q5NI66	Q96LM7
Q5NE81	Q9H355
Q5NEC0	Q9H355
Q5NF37	Q8NAU3
Q5NET3	O75746
Q5NH21	O95976
Q5NGF1	Q96DC8
Q5NEP4	Q92982
Q5NHI7	Q8WW39
Q5NEC0	Q8WVX3
Q5NF78	Q8TDG4
Q5NH02	O75298
Q5NFY7	Q16799
Q5NEC0	O75298
Q5NFP9	Q9H4F8
Q5NH95	Q12772
Q5NEM9	P10124
Q5NIJ0	Q12772
Q5NEY7	P49458
Q5NH94	Q01892
Q5NHX0	P09486
Q5NFP0	Q07890
Q5NFV6	Q8N0X2
Q5NEY3	Q92673
Q5NHN6	Q96I25
Q5NES9	P01241
Q5NFV6	P30626
Q5NHN0	Q9H3E2
Q5NIF1	P18583
Q5NFU8	Q5SXM2
Q5NHX0	Q96Q15
Q5NFU8	Q9NTJ3
Q5NEB6	Q9UJW9
Q5NEC2	Q9UJW9
Q5NFW7	Q9UQ35
Q5NEB5	O75886
Q5NFD2	P16949
Q5NGE6	O43815
Q5NGB9	P42226
Q5NGA0	Q9NUL3
Q5NGF9	P40763
Q5NFK4	O95793
Q5NFW7	Q8WVM7
Q5NET8	P40763
Q5NEB6	Q9UQ35
Q5NI74	Q8N3U4
Q5NEE1	P42224
Q5NHM9	P81877
Q5NF50	P78524
Q5NHF0	Q9UJW9
Q5NEM8	P28290
Q5NH45	Q9NY15
Q5NIP5	Q5MIZ7
Q5NGW2	Q15477
Q5NF60	Q92541
Q5NID9	Q14BN4
Q5NFD2	Q58EX2
Q5NES9	O94979
Q5NEB6	Q01826
Q5NFL4	O94979
Q5NIE2	Q9Y6R1
Q5NGY2	O00422
Q5NFQ5	Q9UPU9
Q5NEC0	O14975
Q5NF74	Q8WUX1
Q5NHP7	P05109
Q5NE94	Q13621
Q5NGW2	Q8N1F8
Q5NHF1	P55011
Q5NHP0	P08621
Q5NFY4	P08579
Q5NGZ2	P08621
Q5NIJ3	Q13761
Q5NF75	O00560
Q5NEB3	O15127
Q5NI89	O00560
Q5NI56	O43765
Q5NIJ3	Q9BRV8
Q5NID2	Q9H2G2
Q5NEH0	Q9BYB0
Q5NGI2	Q9Y286
Q5NGV7	Q99961
Q5NEU6	O15357
Q5NF31	Q99961
Q5NF50	Q12872
Q5NFN3	O75533
Q5NIP5	Q96BR1
Q5NGF2	P84103
Q5NGI2	Q12872
Q5NF31	Q9UBV2
Q5NEX2	O75533
Q5NGZ7	Q13435
Q5NIJ3	Q14242
Q5NEC0	Q7Z591
Q5NEC0	Q08117
Q5NFY4	Q9Y6A1
Q5NFM0	P68104
Q5NEC0	Q13011
Q5NIL8	Q9NTX5
Q5NHN4	Q9Y2J2
Q5NHX5	P40939
Q5NF27	P30084
Q5NET8	P51808
Q5NIP6	O75923
Q5NE83	O43491
Q5NIJ1	Q86XF0
Q5NE94	O75923
Q5NHD9	O14641
Q5NGL8	Q14204
Q5NFB0	Q14204
Q5NFC7	P63172
Q5NEC0	P49005
Q5NF66	Q9C005
Q5NHD1	Q8NF50
Q5NFE2	P13639
Q5NEA2	P13639
Q5NIF3	Q6FI81
Q5NF74	Q92611
Q5NHR0	Q86YB8
Q5NEC0	P15311
Q5NH32	Q9NV70
Q5NF53	Q9H098
Q5NEC0	Q99814
Q5NIP5	Q99814
Q5NFR1	Q99814
Q5NF50	P14625
Q5NEP5	Q9Y6C2
Q5NI74	P06733
Q5NEC0	O75821
Q5NIL8	Q32P44
Q5NFY4	Q9H9B1
Q5NEC0	P32519
Q5NFM0	P13639
Q5NEB4	P00533
Q5NF37	Q9UHF1
Q5NI85	Q9UHL4
Q5NEB6	O60941
Q5NG93	P00367
Q5NI74	P31040
Q5NFJ2	Q7L576
Q5NEJ4	O43927
Q5NI89	Q13616
Q5NEB6	O60888
Q5NEC0	Q6XXX2
Q5NGN2	Q13617
Q5NID1	P67870
Q5NF60	O94964
Q5NEM9	P35222
Q5NEW4	Q9BY42
Q5NF74	Q9Y5B0
Q5NFY4	Q70SY1
Q5NIP5	Q9BZJ0
Q5NIE3	Q9BQ61
Q5NI93	Q16630
Q5NIN7	Q8WU58
Q5NEC0	P17927
Q5NFY5	Q9P013
Q5NF37	P01034
Q5NGY9	Q99418
Q5NH53	Q15038
Q5NIP8	Q9NP97
Q5NES9	Q9Y394
Q5NID2	Q7L7V1
Q5NET1	P17844
Q5NF74	Q8IY21
Q5NHY6	P17844
Q5NF50	P00367
Q5NGF1	Q92841
Q5NF74	O76096
Q5NIJ1	O43237
Q5NF50	Q7L014
Q5NID2	Q14118
Q5NGT6	P08174
Q5NF52	Q9P219
Q5NFJ3	P08174
Q5NF53	O00622
Q5NIF4	Q96LZ7
Q5NFW7	Q86V20
Q5NGF1	Q6ZS17
Q5NI66	Q86XS8
Q5NFJ2	O00165
Q5NF60	P01912
Q5NGV7	P01912
Q5NGC7	Q6FI13
Q5NI66	P84243
Q5NID2	P11169
Q5NGW2	P84243
Q5NGV3	P01909
Q5NGM1	P09211
Q5NF37	P78347
Q5NEP4	Q9NZM5
Q5NHM9	P78347
Q5NEC0	P09341
Q5NHB4	Q9NZM4
Q5NHN0	Q7Z6J2
Q5NF52	Q7LDG7
Q5NI89	Q86XS8
Q5NF67	P01912
Q5NE99	O00165
Q5NFC4	P42694
Q5NID2	Q9Y6X2
Q5NI65	Q9Y6C2
Q5NI96	Q9Y6H1
Q5NGI2	Q9Y6Q9
Q5NHX3	Q9Y6Q9
Q5NI67	Q9Y6X2
Q5NEC0	Q9Y6X8
Q5NIF9	P68871
Q5NES9	P04233
Q5NGC3	P04233
Q5NGX7	Q30201
Q5NHT8	P04233
Q5NID9	P04233
Q5NEB4	P04233
Q5NFZ2	P69905
Q5NEC0	P12544
Q5NEP4	Q8TDU6
Q5NFA4	Q6ICB0
Q5NH99	Q14161
Q5NH37	P53539
Q5NHZ0	O94915
Q5NF31	Q4L180
Q5NGZ3	P21333
Q5NGW4	Q6UN15
Q5NHC9	Q9NVK5
Q5NII1	Q14192
Q5NF67	Q9UHY8
Q5NH91	Q14192
Q5NHZ4	Q14192
Q5NF74	P31994
Q5NGE6	Q86WN1
Q5NID2	Q9UKA1
Q5NIQ5	Q7L513
Q5NI79	Q9Y3D0
Q5NIE3	Q9Y3I1
Q5NGW4	O94887
Q5NFK7	Q9BXM9
Q5NFW7	Q9H334
Q5NEH1	P23769
Q5NG28	P52566
Q5NER2	Q9P2T1
Q5NII1	P15104
Q5NEL1	O14908
Q5NI92	Q8TF65
Q5NEN3	Q8TF65
Q5NHH1	Q9Y2X7
Q5NID1	Q96CW5
Q5NEB2	Q9HCC8
Q5NIA8	P06241
Q5NHX0	P63244
Q5NGN5	Q96CN9
Q5NF74	P63244
Q5NIL8	Q96CN9
Q5NIG6	P51114
Q5NG02	O60861
Q5NHR7	Q96AE4
Q5NEC0	Q66GS9
Q5NEC0	Q9BQ65
Q5NH38	Q6ZS30
Q5NET3	P61769
Q5NFV6	P61769
Q5NF52	O15169
Q5NEN2	P61769
Q5NHL4	Q9UPN4
Q5NI90	O15169
Q5NGV3	Q13315
Q5NI35	Q9UNA0
Q5NHZ4	P54253
Q5NF53	Q13315
Q5NFN4	Q96KQ4
Q5NH37	Q9UII2
Q5NGF1	Q9H1I8
Q5NEP4	Q9UBL3
Q5NH50	Q9UII2
Q5NGW2	P49407
Q5NGD0	P32121
Q5NHX5	P32121
Q5NGK2	P61769
Q5NIE8	Q99933
Q5NGW2	Q6FI81
Q5NI22	P46379
Q5NIP5	P0DP23
Q5NEX4	Q13137
Q5NI67	Q99622
Q5NFQ6	Q9Y5P4
Q5NIG1	Q9Y5P4
Q5NEC8	Q9ULD4
Q5NGX7	A0JLQ5
Q5NG53	Q14692
Q5NF53	Q5VXM9
Q5NE99	Q9NWR8
Q5NIJ1	Q9NZS9
Q5NEC0	Q14692
Q5NF37	Q6W2J9
Q5NGX7	Q13490
Q5NET1	P46379
Q5NIQ2	P46379
Q5NEP4	P46379
Q5NG37	Q96DX5
Q5NH02	Q9NWB6
Q5NF74	Q4LE39
Q5NET8	P49407
Q5NFN3	Q6UB99
Q5NFY6	P12235
Q5NFB0	O60678
Q5NGE6	Q6UB99
Q5NI74	Q6UB98
Q5NEC0	Q07075
Q5NGZ2	Q6ZTN6
Q5NHN5	P15144
Q5NGV3	Q9BTT0
Q5NFY6	P04075
Q5NIJ3	P05062
Q5NHD1	P05062
Q5NFB0	P05062
Q5NFY4	Q6ZS30
Q5NFD5	P00352
Q5NFN4	Q12802
Q5NGF1	Q8N187
Q5NFT7	P08133
Q5NI96	P04083
Q5NG97	P07355
Q5NEB4	Q8N6S5
Q5NHT8	Q4LE39
Q5NHN7	Q8IWT0
Q5NGF9	P53367
Q5NEE2	P84077
Q5NET8	P53365
Q5NGA0	Q92482
Q5NGF1	O95236
Q5NH38	O94973
Q5NHS4	P50995
Q5NGV7	O94973
Q5NGR3	Q02410
Q5NI89	O75843
Q5NIJ1	P08133
Q5NGW2	Q10567
Q5NEX2	P20073
Q5NIB1	Q10567
Q5NI33	Q9P1Z2
Q5NEX4	Q9Y2G2
Q5NGF9	Q14444
Q5NFV6	Q5VYM1
Q5NFY5	Q7Z3D6
Q5NFY4	P02452
Q5NGF1	A5YKK6
Q5NHY6	P08123
Q5NF50	O75503
Q5NI40	P51790
Q5NEC0	Q8NDC0
Q5NFJ3	Q14CX7
Q5NF31	Q9HCM1
Q5NHY8	Q8N1N0
Q5NFP9	Q14CX7
Q5NHN7	O75122
Q5NHZ0	Q14008
Q5NEB0	Q96FZ5
Q5NI90	Q6IPW1
Q5NEB0	Q9NX76
Q5NI33	Q9H330
Q5NEC2	P02461
Q5NII1	P02462
Q5NFA1	P02461
Q5NGF9	Q9UP83
Q5NGR3	P04632
Q5NE83	Q86VX2
Q5NID9	P31146
Q5NID9	Q9H0I2
Q5NFM0	P35606
Q5NIE3	P31146
Q5NEW4	Q96CD2
Q5NEY1	Q96JB2
Q5NIP6	P08572
Q5NFN3	Q96MW5
Q5NH48	P08572
Q5NHN4	P12109
Q5NEM9	P0C0L4
Q5NEY0	P12109
Q5NEH1	P08572
Q5NI82	P02462
Q5NF29	Q86X95
Q5NER2	Q8N8R7
Q5NEC0	P27824
