,name,AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,Degree,Eccentricity
2527,Q9H2X6,7.41282142,0.0,0.13490139999999998,1,15
2528,Q8D0H8,1.0,1.0,1.0,3,1
2529,P05771,1.66666667,0.0,0.6,1,2
2530,P40222,1.66666667,0.0,0.6,1,2
2531,Q96GC9,1.66666667,0.0,0.6,1,2
2532,Q8D0I3,7.60584713,0.00140845,0.13147779,2,16
2533,Q8D0I9,4.81472349,0.01093968,0.20769625,7,12
2534,P55899,5.81366678,0.00070447,0.17200848,2,13
2535,Q07960,5.81437126,0.0,0.17198764,1,13
2536,Q14814,5.81437126,0.0,0.17198764,1,13
2537,Q96MT8,5.81437126,0.0,0.17198764,1,13
2538,Q8D0K4,7.25783727,0.00070447,0.13778209,2,14
2539,Q4LE39,8.25748503,0.0,0.12110225,1,15
2540,Q8D0K7,7.44874956,0.0,0.13425072,1,14
2541,Q8D0K9,6.70764354,0.00051214,0.14908365,2,14
2542,Q8D0L3,1.0,0.0,1.0,1,1
2543,Q13114,1.0,0.0,1.0,1,1
2544,Q8D0L8,6.27439239,0.00082749,0.15937798,3,12
2545,Q92997,7.27404015,0.0,0.13747518,1,13
2546,Q8D0M7,5.49031349,0.00029452,0.18213896,2,12
2547,Q8D0M8,1.0,0.0,1.0,1,1
2548,P09960,1.0,0.0,1.0,1,1
2549,Q8D0N2,7.12821416,0.0,0.14028759,1,12
2550,Q8D0N7,1.6,0.7,0.625,3,3
2551,Q9NY93,2.4,0.0,0.41666667,1,4
2552,Q9Y3P9,2.4,0.0,0.41666667,1,4
2553,Q8D0N9,6.16167665,0.00549867,0.16229349,7,12
2554,P13164,7.16061994,0.00070447,0.13965271,2,13
2555,P18433,7.16132441,0.0,0.13963897,1,13
2556,P51606,7.16132441,0.0,0.13963897,1,13
2557,Q86X95,7.16132441,0.0,0.13963897,1,13
2558,Q8WYP5,7.16132441,0.0,0.13963897,1,13
2559,Q8D0P1,5.64882001,0.00173411,0.17702812,4,14
2560,Q14498,5.87777386,0.00158934,0.17013244,4,13
2561,Q9HCD5,6.64846777,0.0,0.1504106,1,15
2562,Q8D0P4,1.0,1.0,1.0,4,1
2563,P0DJD0,1.75,0.0,0.57142857,1,2
2564,Q7L513,1.75,0.0,0.57142857,1,2
2565,Q7Z3E2,1.75,0.0,0.57142857,1,2
2566,Q7Z4H8,1.75,0.0,0.57142857,1,2
2567,Q8D0P9,6.68580486,0.00137884,0.14957062,5,12
2568,Q02833,7.68545262,0.0,0.13011595,1,13
2569,Q8D0Q9,6.24621346,0.00122172,0.16009699,4,12
2570,O60315,7.24586122,0.0,0.13800982,1,13
2571,P14543,6.88587531,9.057e-05,0.14522482,2,13
2572,Q96RL6,5.662205,0.00087004,0.17660964,2,13
2573,Q8D0R4,5.45015851,0.00454565,0.1834809,6,12
2574,Q6NYC8,6.44980627,0.0,0.15504342,1,13
2575,Q86UR1,6.44980627,0.0,0.15504342,1,13
2576,Q96S86,5.99048961,0.00054073,0.16693126,2,13
2577,Q8D0R5,5.52060585,0.00353645,0.18113954,7,14
2578,A2RU94,6.52025361,0.0,0.15336827,1,15
2579,O60264,6.52025361,0.0,0.15336827,1,15
2580,P51159,6.52025361,0.0,0.15336827,1,15
2581,Q5T9S5,6.52025361,0.0,0.15336827,1,15
2582,Q92619,6.52025361,0.0,0.15336827,1,15
2583,Q8D0R7,7.12469179,0.00211268,0.14035695,4,13
2584,P02788,8.12433956,0.0,0.12308693,1,14
2585,Q08499,8.12433956,0.0,0.12308693,1,14
2586,Q8NI08,8.12433956,0.0,0.12308693,1,14
2587,Q8D0R8,6.22085241,0.00229285,0.16074967,5,12
2588,P32455,7.22050018,0.0,0.13849456,1,13
2589,Q16769,7.22050018,0.0,0.13849456,1,13
2590,Q86XR2,6.53927439,0.00034002,0.15292217,2,13
2591,Q8NDI1,7.22050018,0.0,0.13849456,1,13
2592,Q8D0R9,5.39943642,0.00066155,0.18520451,5,14
2593,Q8D0S1,6.8436069,0.0,0.14612178,1,14
2594,Q8D0S2,5.80732652,0.0014103,0.17219628,3,12
2595,Q8D0T1,5.62205002,0.00293588,0.17787106,3,14
2596,Q8D0T7,1.0,0.0,1.0,1,1
2597,Q96B36,1.0,0.0,1.0,1,1
2598,Q8D0U3,6.32652342,0.00082687,0.1580647,3,14
2599,Q01459,6.21733005,0.00033139,0.16084075,2,13
2600,Q96CJ1,7.32617119,0.0,0.13649695,1,15
2601,Q8D0V0,5.40366326,0.00622293,0.18505964,8,14
2602,A3KN83,6.40331103,0.0,0.15616921,1,15
2603,O60281,6.40331103,0.0,0.15616921,1,15
2604,P50591,6.40331103,0.0,0.15616921,1,15
2605,Q5H9K5,6.40331103,0.0,0.15616921,1,15
2606,Q8D0V3,5.00774921,0.0,0.19969051,1,12
2607,Q8D0V6,5.88622754,0.00158023,0.16988810000000001,2,14
2608,Q8D0V8,5.47551955,0.00481346,0.18263107,8,12
2609,A4D1H4,6.47516731,0.0,0.15443616,1,13
2610,O76031,6.47516731,0.0,0.15443616,1,13
2611,P14902,6.47516731,0.0,0.15443616,1,13
2612,Q16654,6.47516731,0.0,0.15443616,1,13
2613,Q99612,6.30609369,0.00027894,0.15857677,2,13
2614,Q8D0V9,6.37513209,0.00070447,0.15685949,2,14
2615,P42356,7.37477985,0.0,0.13559727,1,15
2616,Q8D0W1,6.53716097,0.0022171,0.1529716,5,12
2617,O43432,7.05776682,0.00021656,0.14168788,2,13
2618,O95198,7.53680874,0.0,0.13268215,1,13
2619,Q9Y5X1,7.53680874,0.0,0.13268215,1,13
2620,Q8D0X0,5.00704473,0.00070447,0.19971861,2,12
2621,P20023,6.006692500000001,0.0,0.16648097,1,13
2622,Q8D0X2,1.0,1.0,1.0,2,1
2623,O75381,1.5,0.0,0.66666667,1,2
2624,P59923,1.5,0.0,0.66666667,1,2
2625,Q8D0X3,4.99225079,0.0075649,0.20031045,6,12
2626,Q7Z2F6,5.99189856,0.0,0.16689201,1,13
2627,Q8D0Z3,1.4,0.7,0.71428571,3,2
2628,P09326,2.2,0.0,0.45454545,1,3
2629,Q93063,2.2,0.0,0.45454545,1,3
2630,Q8D0Z4,4.90630504,0.01503696,0.20381937,10,12
2631,O14494,5.9059528,0.0,0.16932069,1,13
2632,Q8TCU6,5.9059528,0.0,0.16932069,1,13
2633,Q9Y296,5.9059528,0.0,0.16932069,1,13
2634,Q8D100,6.66396619,0.0,0.15006079,1,14
2635,Q8D101,1.0,0.0,1.0,1,1
2636,Q96AT9,1.0,0.0,1.0,1,1
2637,Q8D111,1.0,0.0,1.0,1,1
2638,P00439,1.0,0.0,1.0,1,1
2639,Q8D116,1.0,0.0,1.0,1,1
2640,Q96LT4,1.0,0.0,1.0,1,1
2641,Q8D126,1.0,0.0,1.0,1,1
2642,P23284,1.0,0.0,1.0,1,1
2643,Q8D130,7.209228599999999,0.0,0.1387111,1,14
2644,Q8D131,1.0,1.0,1.0,6,1
2645,A8K3M3,1.83333333,0.0,0.54545455,1,2
2646,P18031,1.83333333,0.0,0.54545455,1,2
2647,Q7Z406,1.83333333,0.0,0.54545455,1,2
2648,Q8TCD6,1.83333333,0.0,0.54545455,1,2
2649,Q96LI5,1.83333333,0.0,0.54545455,1,2
2650,Q9UKT7,1.83333333,0.0,0.54545455,1,2
2651,Q8D133,5.00774921,0.0,0.19969051,1,12
2652,Q8D134,8.18210638,0.00281491,0.12221792,2,14
2653,Q8D162,5.5988024,0.00025993,0.17860963,2,14
2654,Q8D166,5.58259951,0.00200152,0.17912802,4,14
2655,Q9BTE6,6.58224727,0.0,0.15192379999999997,1,15
2656,Q9UJT9,6.58224727,0.0,0.15192379999999997,1,15
2657,Q8D169,4.9126453,0.01720697,0.20355632,12,12
2658,O00376,5.91229306,0.0,0.16913911,1,13
2659,P14314,5.91229306,0.0,0.16913911,1,13
2660,Q15018,5.91229306,0.0,0.16913911,1,13
2661,Q9BYV9,5.91229306,0.0,0.16913911,1,13
2662,Q9UDT6,5.91229306,0.0,0.16913911,1,13
2663,Q8D171,1.0,0.0,1.0,1,1
2664,Q9UGI0,1.0,0.0,1.0,1,1
2665,Q8D174,6.72243748,0.00070447,0.14875557,2,14
2666,Q9UFF9,7.72208524,0.0,0.1294987,1,15
2667,Q8D176,5.49735822,0.00208619,0.18190556,4,14
2668,Q9UM47,6.48432547,1.511e-05,0.15421805,2,15
2669,Q8D177,5.86297992,1.2e-07,0.17056173,2,14
2670,Q8D179,8.82176823,0.0,0.11335596,1,16
2671,Q8D184,5.10426206,0.00221269,0.19591471,4,12
2672,P41182,6.10390983,0.0,0.16382942,1,13
2673,Q8D191,1.0,1.0,1.0,2,1
2674,P08069,1.5,0.0,0.66666667,1,2
2675,Q9UGV2,1.5,0.0,0.66666667,1,2
2676,Q8D192,5.73828813,0.00422287,0.174268,6,12
2677,P28328,6.73793589,0.0,0.1484134,1,13
2678,P42224,6.73723142,0.00070447,0.14842892,2,13
2679,P78347,6.73793589,0.0,0.1484134,1,13
2680,Q7Z5R6,6.73793589,0.0,0.1484134,1,13
2681,Q9Y5Q9,6.73793589,0.0,0.1484134,1,13
2682,Q8D194,6.54561465,0.00637415,0.15277404,11,14
2683,A2IDD5,7.54526242,0.0,0.1325335,1,15
2684,O60502,7.54526242,0.0,0.1325335,1,15
2685,O75385,7.54526242,0.0,0.1325335,1,15
2686,P36871,7.54526242,0.0,0.1325335,1,15
2687,Q546E0,7.54526242,0.0,0.1325335,1,15
2688,Q96G23,7.54526242,0.0,0.1325335,1,15
2689,Q9BYC5,7.54526242,0.0,0.1325335,1,15
2690,Q9UHB6,7.54526242,0.0,0.1325335,1,15
2691,Q9Y5B9,7.54526242,0.0,0.1325335,1,15
2692,Q8D195,1.0,1.0,1.0,4,1
2693,O43166,1.75,0.0,0.57142857,1,2
2694,P09467,1.75,0.0,0.57142857,1,2
2695,P40189,1.75,0.0,0.57142857,1,2
2696,Q9NRX5,1.75,0.0,0.57142857,1,2
2697,Q8D1A1,7.52905953,0.0028164,0.13281871,5,16
2698,O43865,8.52870729,0.0,0.11725106,1,17
2699,O75521,8.52870729,0.0,0.11725106,1,17
2700,Q4VX76,8.52870729,0.0,0.11725106,1,17
2701,Q9H9B1,8.52870729,0.0,0.11725106,1,17
2702,Q8D1A4,4.91828108,0.00953321,0.20332307,7,12
2703,O75643,5.77703417,0.00135845,0.1730992,2,13
2704,Q16881,5.91792885,0.0,0.16897804,1,13
2705,Q8D1B3,6.1814019,0.00031726,0.16177560000000002,2,14
2706,Q8D1B7,5.91088411,0.0003142,0.16917943,2,12
2707,Q8D1C5,5.73969708,0.00296939,0.17422522,6,14
2708,O94903,6.73934484,0.0,0.14838238,1,15
2709,Q86XI8,6.73934484,0.0,0.14838238,1,15
2710,Q9UJJ9,6.43994364,0.00030449,0.15528086,2,13
2711,Q8D1C6,6.02078197,0.0,0.16609138,1,14
2712,Q8D1C8,1.0,0.0,1.0,1,1
2713,P30041,1.0,0.0,1.0,1,1
2714,Q8D1D2,6.18069743,0.00269909,0.16179404,6,14
2715,A4QPH0,7.18034519,0.0,0.13926907,1,15
2716,Q7Z6K3,7.18034519,0.0,0.13926907,1,15
2717,Q9C0B5,7.18034519,0.0,0.13926907,1,15
2718,Q8D1D4,7.19302571,0.00070447,0.13902355,2,12
2719,Q12923,8.19267348,0.0,0.12206028,1,13
2720,Q8D1E0,7.83832335,0.0,0.1275783,1,14
2721,Q8D1E3,6.63156041,0.00070447,0.15079407,2,12
2722,Q9Y2J2,7.63120817,0.0,0.13104085,1,13
2723,Q8D1E6,5.00774921,0.0,0.19969051,1,12
2724,Q8D1E7,6.28777739,0.00324032,0.15903871,5,14
2725,P35658,7.28672068,0.00070447,0.13723595,2,15
2726,Q969F2,7.28742515,0.0,0.13722268,1,15
2727,Q9NSK7,7.28742515,0.0,0.13722268,1,15
2728,Q8D1F5,6.27580134,0.00195411,0.1593422,4,14
2729,P21439,7.2754490999999994,0.0,0.13744856,1,15
2730,Q9HB63,7.2754490999999994,0.0,0.13744856,1,15
2731,Q8D1F7,6.60619937,0.00211268,0.15137297,4,14
2732,O75575,7.60584713,0.0,0.13147779,1,15
2733,P20290,7.60584713,0.0,0.13147779,1,15
2734,P56199,7.60584713,0.0,0.13147779,1,15
2735,Q8D1F9,6.9788657999999995,0.0,0.14328976,1,14
2736,Q8D1G2,1.0,0.0,1.0,1,1
2737,Q8N137,1.0,0.0,1.0,1,1
2738,Q8D1G3,6.31243396,0.00149784,0.1584175,3,14
2739,Q8WV15,7.31208172,0.0,0.13675996,1,15
2740,Q8D1G4,5.00774921,0.0,0.19969051,1,12
2741,Q8D1G8,5.55582952,0.00505605,0.17999112,6,12
2742,P15907,6.55547728,0.0,0.15254419,1,13
2743,Q5JSL3,6.55547728,0.0,0.15254419,1,13
2744,Q8D1H3,5.00774921,0.0,0.19969051,1,12
2745,Q8D1H5,6.3138429,0.00014038,0.15838215,2,14
2746,P15529,6.18492427,0.00019233,0.16168347,2,13
2747,Q8D1I6,6.1947869,0.0,0.16142605,1,12
2748,Q8D1I7,6.72948221,0.0,0.14859984,1,14
