"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"188","5.07482079","1.0E-8","0.19705129","0.0","2","9","false","Q14568","48.0","2","0","0","0.72834528","false","0","Q14568","2","1.0"
"190","5.07482079","1.0E-8","0.19705129","0.0","2","9","false","Q15751","48.0","2","0","0","0.72834528","false","0","Q15751","2","1.0"
"192","5.07482079","1.0E-8","0.19705129","0.0","2","9","false","Q2TAL8","48.0","2","0","0","0.72834528","false","0","Q2TAL8","2","1.0"
"194","5.07482079","1.0E-8","0.19705129","0.0","2","9","false","Q4G0J3","48.0","2","0","0","0.72834528","false","0","Q4G0J3","2","1.0"
"196","4.73521505","0.00666627","0.21118365","0.0","3","9","false","Q5HYC2","50.0","3","0","0","0.75098566","false","0","Q5HYC2","636234","0.49494949"
"198","4.81137993","0.01386548","0.20784058","0.0","6","9","false","Q6AHZ1","24.5","6","0","0","0.745908","false","0","Q6AHZ1","1175078","0.26111111"
"200","5.07482079","1.0E-8","0.19705129","0.0","2","9","false","Q6IQ19","48.0","2","0","0","0.72834528","false","0","Q6IQ19","2","1.0"
"202","4.86693548","0.01850934","0.2054681","0.0","11","9","false","Q6PKC3","13.0","11","0","0","0.7422043","false","0","Q6PKC3","1472808","0.14634146"
"204","5.07482079","1.0E-8","0.19705129","0.0","2","9","false","Q6ZUT9","48.0","2","0","0","0.72834528","false","0","Q6ZUT9","2","1.0"
"206","5.0640681","8.6329E-4","0.1974697","0.0","3","9","false","Q6ZWJ1","33.66666667","3","0","0","0.72906213","false","0","Q6ZWJ1","61218","0.65333333"
"209","5.07482079","1.0E-8","0.19705129","0.0","2","9","false","Q7Z3U7","48.0","2","0","0","0.72834528","false","0","Q7Z3U7","2","1.0"
"211","5.04077061","0.00120423","0.19838237","0.0","3","9","false","Q7Z4H7","36.33333333","3","0","0","0.73061529","false","0","Q7Z4H7","131878","0.6091954"
"213","5.07482079","1.0E-8","0.19705129","0.0","2","9","false","Q8N131","48.0","2","0","0","0.72834528","false","0","Q8N131","2","1.0"
"215","5.06675627","0.00105469","0.19736493","0.0","3","9","false","Q8N196","34.33333333","3","0","0","0.72888292","false","0","Q8N196","69518","0.64102564"
"217","4.86603943","0.01552233","0.20550594","0.0","9","9","false","Q8N2S1","14.55555556","9","0","0","0.74226404","false","0","Q8N2S1","1130544","0.18569254"
"219","5.05958781","0.0039327","0.19764456","0.0","3","9","false","Q8NAV2","33.66666667","3","0","0","0.72936081","false","0","Q8NAV2","309726","0.64052288"
"221","4.6859319","0.01971132","0.21340472","0.0","5","9","false","Q8WXI9","33.4","5","0","0","0.75427121","false","0","Q8WXI9","1292938","0.28421053"
"223","5.07482079","1.0E-8","0.19705129","0.0","2","9","false","Q92541","48.0","2","0","0","0.72834528","false","0","Q92541","2","1.0"
"225","5.06048387","0.00153745","0.19760956","0.0","3","9","false","Q92888","34.33333333","3","0","0","0.72930108","false","0","Q92888","159430","0.64102564"
"227","5.07482079","1.0E-8","0.19705129","0.0","2","9","false","Q96A84","48.0","2","0","0","0.72834528","false","0","Q96A84","2","1.0"
"229","4.5452509","0.01504047","0.22000986","0.0","6","9","false","Q96T58","28.16666667","6","0","0","0.76364994","false","0","Q96T58","1091268","0.24255952"
"231","4.46818996","0.00677515","0.22380427","0.0","4","9","false","Q9H4A3","47.0","4","0","0","0.76878734","false","0","Q9H4A3","1007500","0.359375"
"233","5.03629032","0.00854841","0.19855885","0.0","3","9","false","Q9NP66","35.33333333","3","0","0","0.73091398","false","0","Q9NP66","563210","0.61309524"
"235","4.49775986","0.03074521","0.2223329","0.0","12","9","false","Q9NYI0","16.58333333","12","0","0","0.76681601","false","0","Q9NYI0","2393266","0.11716792"
"237","4.80958781","0.00354784","0.20791803","0.0","5","9","false","Q9ULJ1","24.6","5","0","0","0.74602748","false","0","Q9ULJ1","335070","0.34202899"
"239","5.03718638","0.00517098","0.19852353","0.0","3","9","false","Q9Y228","35.33333333","3","0","0","0.73085424","false","0","Q9Y228","365722","0.61309524"
"241","4.73566308","0.01369687","0.21116367","0.0","13","9","false","A0A1V4B700","4.61538462","13","0","0","0.75095579","false","0","A0A1V4B700","688158","0.07692308"
"242","5.73521505","0.0","0.17436138","0.0","1","10","false","O00232","13.0","1","0","0","0.684319","false","0","O00232","0","0.0"
"244","4.61424731","0.02519574","0.21672007","0.0","12","9","false","O15162","11.08333333","12","0","0","0.75905018","false","0","O15162","1279152","0.08618234"
"246","5.73521505","0.0","0.17436138","0.0","1","10","false","O75044","13.0","1","0","0","0.684319","false","0","O75044","0","0.0"
