"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"12962","1.0","0.0","1.0","0.0","1","1","false","O94875","1.0","1","0","0","1.0","false","0","O94875","0","0.0"
"19126","5.45508982","0.00710093","0.18331504","0.0","8","12","false","Q7CIT1","6.125","8","0","0","0.75249501","false","0","Q7CIT1","609112","0.128125"
"19129","6.45473758","0.0","0.15492497","0.0","1","13","false","P35659","8.0","1","0","0","0.69695902","false","0","P35659","0","0.0"
"19133","6.45473758","0.0","0.15492497","0.0","1","13","false","Q8N8C0","8.0","1","0","0","0.69695902","false","0","Q8N8C0","0","0.0"
"19135","6.45473758","0.0","0.15492497","0.0","1","13","false","Q96DY7","8.0","1","0","0","0.69695902","false","0","Q96DY7","0","0.0"
"19137","6.45473758","0.0","0.15492497","0.0","1","13","false","Q9UMR2","8.0","1","0","0","0.69695902","false","0","Q9UMR2","0","0.0"
"19139","1.0","1.0","1.0","0.0","4","1","false","Q7CIT3","1.0","4","0","0","1.0","false","0","Q7CIT3","12","0.0"
"2888","1.75","0.0","0.57142857","0.0","1","2","false","O95382","4.0","1","0","0","0.625","false","0","O95382","0","0.0"
"2318","1.75","0.0","0.57142857","0.0","1","2","false","Q8IYM9","4.0","1","0","0","0.625","false","0","Q8IYM9","0","0.0"
"5811","1.75","0.0","0.57142857","0.0","1","2","false","Q99459","4.0","1","0","0","0.625","false","0","Q99459","0","0.0"
"19143","1.75","0.0","0.57142857","0.0","1","2","false","Q9UNH6","4.0","1","0","0","0.625","false","0","Q9UNH6","0","0.0"
"19145","5.21697781","0.00224434","0.19168186","0.0","3","12","false","Q7CIT4","11.66666667","3","0","0","0.76572346","false","0","Q7CIT4","140034","0.33333333"
"19146","5.5508982","0.004175","0.18015102","0.0","4","13","false","O75365","4.5","4","0","0","0.74717232","false","0","O75365","233726","0.25"
"19148","6.21662557","0.0","0.16085897","0.0","1","13","false","O96005","3.0","1","0","0","0.71018747","false","0","O96005","0","0.0"
"19151","5.39661853","0.0","0.18530122","0.0","1","12","false","Q7CIT9","27.0","1","0","0","0.75574342","false","0","Q7CIT9","0","0.0"
"19153","2.5","0.0","0.4","0.0","1","4","false","Q7CIU3","3.0","1","0","0","0.625","false","0","Q7CIU3","0","0.0"
"12457","1.66666667","0.6","0.6","0.0","3","3","false","O14907","1.66666667","3","0","0","0.83333333","false","0","O14907","18","0.33333333"
"19155","7.00845368","0.0","0.14268483","0.0","1","14","false","Q7CIU4","2.0","1","0","0","0.66619702","false","0","Q7CIU4","0","0.0"
